Date,Result,Rebalanced_Score,Win
2017-08-20,W,5.425859801182263,1
2017-09-13,W,8.45875,1
2017-09-17,W,8.28,1
2017-09-20,L,9.44695672439742,0
2017-09-23,W,10.279186994296417,1
2017-09-26,W,8.769890137328339,1
2017-10-01,W,8.261216337725886,1
2017-10-14,W,8.960732394366199,1
2017-10-22,W,8.551904761904762,1
2017-10-29,L,6.664999999999999,0
2017-11-01,L,6.5504999999999995,0
2017-11-05,W,10.287256967561964,1
2017-11-21,W,8.686334928229664,1
2017-11-25,W,7.158019125683059,1
2017-12-06,W,13.072521812552774,1
2017-12-09,W,11.984132104454686,1
2017-12-23,L,6.594508689564288,0
2018-01-13,L,10.961838509316769,0
2018-01-21,W,11.240000000000002,1
2018-01-27,W,8.978620689655173,1
2018-02-10,W,8.905006583278473,1
2018-02-14,W,7.7817948717948715,1
2018-02-18,W,9.44,1
2018-02-21,W,6.357520434466345,1
2018-02-24,W,9.006495972382048,1
2018-02-27,L,7.938027332144979,0
2018-03-03,W,8.295076923076923,1
2018-03-06,W,12.06989417989418,1
2018-03-10,W,5.755269841269841,1
2018-03-18,W,13.02118530020704,1
2018-03-31,W,8.520359902016205,1
2018-04-03,W,8.50775975975976,1
2018-04-11,L,7.176702702702703,0
2018-04-15,W,6.289259259259258,1
2018-04-25,W,4.740627177700349,1
2018-04-28,W,5.45423403052572,1
2018-05-09,L,6.741464105156725,0
2018-05-12,W,13.253333333333332,1
2018-05-26,W,6.2299999999999995,1
2018-08-19,W,6.89448940533151,1
2018-08-26,W,9.273157894736842,1
2018-09-01,W,8.285488976823064,1
2018-09-19,W,11.386785714285715,1
2018-09-22,W,9.266926523297492,1
2018-09-26,L,8.235386329652634,0
2018-10-02,L,9.964186602870813,0
2018-10-06,L,7.386308439587128,0
2018-10-20,L,12.605,0
2018-10-23,W,7.473115615615615,1
2018-10-28,L,5.426666666666666,0
2018-11-03,W,11.771298701298702,1
2018-11-07,W,9.73,1
2018-11-11,W,7.3100000000000005,1
2018-11-24,L,6.927281105990783,0
2018-11-27,W,7.666737629459148,1
2018-12-01,W,7.221104389281604,1
2018-12-09,W,3.6502189915347807,1
2018-12-12,L,7.890023923444977,0
2018-12-15,W,7.871292134831461,1
2019-01-06,L,7.3952564620785015,0
2019-01-13,W,5.837407407407407,1
2019-01-19,W,7.623793103448276,1
2019-01-27,W,11.607777777777777,1
2019-02-03,W,10.646666666666667,1
2019-02-09,W,6.808072289156628,1
2019-02-13,W,6.460000000000001,1
2019-02-17,L,7.174616945712837,0
2019-02-24,W,8.173435828877006,1
2019-03-02,L,8.676,0
2019-03-05,L,7.925465116279069,0
2019-03-10,W,7.665215030639733,1
2019-03-16,W,12.438098957070096,1
2019-03-31,W,6.512856548856549,1
2019-04-03,L,10.965714285714286,0
2019-04-06,W,7.866487248082753,1
2019-04-21,W,8.49416149068323,1
2019-04-28,L,5.5596073059360736,0
2019-05-05,W,10.092456189937817,1
2019-05-12,L,3.270020165020165,0
2019-05-19,L,6.010200534759359,0
2019-08-17,W,6.666212121212121,1
2019-09-14,W,11.35282956685499,1
2019-09-18,L,4.982244306418219,0
2019-09-22,W,6.135,1
2019-09-25,W,7.941315192743764,1
2019-10-05,W,10.60677033492823,1
2019-10-19,L,8.58048433048433,0
2019-10-22,W,6.547115384615384,1
2019-10-30,W,8.878650818144317,1
2019-11-06,W,8.834338436303991,1
2019-11-09,W,6.145352112676056,1
2019-11-23,W,9.674634146341464,1
2019-11-30,W,7.2243958573072495,1
2019-12-07,W,6.636785714285714,1
2019-12-11,W,8.374397590361447,1
2020-01-04,W,7.22,1
2020-01-18,W,7.013333333333333,1
2020-01-26,W,6.191724137931035,1
2020-02-01,W,10.516666666666667,1
2020-02-09,W,11.493333333333332,1
2020-02-22,L,5.779375,0
2020-02-26,L,5.7953012048192765,0
2020-03-01,W,6.092146089204912,1
2020-03-08,L,5.821529244176303,0
2020-06-14,W,3.831385542168675,1
2020-06-18,W,9.993333333333332,1
2020-06-21,W,7.17375,1
2020-06-24,W,8.681616086570298,1
2020-06-28,W,6.253333333333333,1
2020-07-02,W,3.803755760368664,1
2020-07-05,W,7.604642857142857,1
2020-07-10,W,5.770213184606199,1
2020-07-13,W,8.121632653061225,1
2020-07-16,W,8.532571428571428,1
2020-08-07,L,4.008533492400141,0
2020-09-26,W,6.623102766798419,1
2020-09-30,W,5.8609663865546215,1
2020-10-04,W,5.692727272727273,1
2020-10-17,L,6.861942279942279,0
2020-10-21,L,8.038260869565217,0
2020-10-24,W,7.832112299465241,1
2020-10-31,W,8.751785938372565,1
2020-11-03,W,7.884805194805195,1
2020-11-08,L,10.237168021680217,0
2020-11-25,W,10.023444976076554,1
2020-11-28,L,7.345614973262032,0
2020-12-01,L,7.15345864661654,0
2020-12-05,W,5.033333333333334,1
2020-12-09,W,7.013333333333332,1
2020-12-12,W,7.4706896551724125,1
2020-12-15,W,9.839285714285715,1
2020-12-20,W,6.182779836916234,1
2020-12-23,W,8.643516483516484,1
2021-01-02,W,6.906571428571428,1
2021-01-23,W,11.155131578947369,1
2021-01-30,L,9.846666666666666,0
2021-02-06,W,10.073333333333332,1
2021-02-09,W,6.731481481481481,1
2021-02-14,W,10.518269230769231,1
2021-02-20,W,8.651944444444446,1
2021-02-24,W,11.993333333333334,1
2021-03-13,W,8.626288298473714,1
2021-03-16,W,8.006666666666666,1
2021-03-20,W,7.395158730158729,1
2021-04-03,W,8.24773987206823,1
2021-04-06,W,8.586666666666666,1
2021-04-10,W,5.040014814228694,1
2021-04-21,W,7.671893455098934,1
2021-05-01,W,9.421160118606375,1
2021-05-05,L,5.876111111111111,0
2021-05-13,W,8.910763143018656,1
2021-05-16,W,10.913333333333332,1
2021-05-22,W,6.783067045723762,1
2021-08-14,W,9.34510344827586,1
2021-08-28,W,6.340484330484331,1
2021-09-12,W,6.11499222999223,1
2021-09-15,W,8.71753164556962,1
2021-09-19,W,5.9996097236097246,1
2021-09-22,W,7.635384738345761,1
2021-09-28,L,8.387307692307692,0
2021-10-03,L,5.536471734892788,0
2021-10-19,W,8.877150849150848,1
2021-10-24,W,5.753333333333334,1
2021-10-30,W,12.415240963855421,1
2021-11-03,W,7.84,1
2021-11-06,W,8.280000000000001,1
2021-11-21,W,11.805997698504028,1
2021-11-24,W,7.737650602409638,1
2021-11-28,W,7.017499999999999,1
2021-12-01,W,7.231304347826087,1
2021-12-04,W,6.749375000000001,1
2021-12-07,W,6.283090909090909,1
2021-12-12,W,6.66,1
2021-12-22,W,9.846666666666666,1
2022-01-02,L,7.4435714285714285,0
2022-01-08,W,6.712993788819875,1
2022-02-06,W,9.464651162790698,1
2022-02-15,L,5.908333333333333,0
2022-02-19,W,8.209444444444445,1
2022-02-26,W,6.791172413793103,1
2022-03-05,W,7.3261111111111115,1
2022-03-09,W,9.696050420168069,1
2022-03-14,W,4.6318545653362495,1
2022-03-20,L,6.366666666666666,0
2022-04-02,W,4.368747553816047,1
2022-04-06,W,7.45972602739726,1
2022-04-09,W,7.913378378378378,1
2022-04-12,L,5.207109560859561,0
2022-04-17,W,7.495462962962963,1
2022-04-20,W,8.722324853228962,1
2022-04-26,L,3.82187728937729,0
2022-04-30,W,11.208049919794043,1
2022-05-04,W,5.011075827287378,1
2022-05-08,L,6.523283582089552,0
2022-05-12,W,10.830673798798799,1
2022-05-28,W,4.5703370786516855,1
2022-08-14,W,7.514274948889841,1
2022-08-20,W,9.153206675224647,1
2022-08-28,W,10.709505420628672,1
2022-09-03,W,11.22817827107333,1
2022-09-06,W,5.934055656017682,1
2022-09-11,W,14.032269570707072,1
2022-09-14,W,8.599464285714285,1
2022-09-18,W,7.535058823529411,1
2022-10-05,W,8.746604729729729,1
2022-10-08,W,8.005004516711834,1
2022-10-16,W,5.889025974025974,1
2022-10-19,W,7.602715689788527,1
2022-10-22,W,10.05333140543667,1
2022-10-25,L,7.181111111111112,0
2022-11-02,W,9.533076923076923,1
2022-11-07,L,4.995614630467571,0
2022-11-10,W,13.006825396825397,1
2022-12-30,W,8.572428940568475,1
2023-01-07,L,6.9662111801242235,0
2023-01-22,W,5.262857142857143,1
2023-02-02,W,7.595999999999999,1
2023-02-05,L,8.690105820105819,0
2023-02-15,W,9.48739260220636,1
2023-02-18,W,5.436381766381767,1
2023-02-21,W,5.882312661498709,1
2023-03-11,W,11.005890796835809,1
2023-03-15,W,5.407277108433735,1
2023-03-19,L,8.509580930846052,0
2023-04-02,W,8.99,1
2023-04-08,L,11.786061855406185,0
2023-04-12,W,7.970963855421687,1
2023-04-15,W,12.097623705408516,1
2023-04-18,W,4.670555555555556,1
2023-04-22,W,7.526875,1
2023-04-25,L,11.034642857142856,0
2023-04-29,W,10.253877151799689,1
2023-05-02,L,6.138231780167264,0
2023-05-13,W,9.009336010709504,1
2023-05-17,L,3.321929759361507,0
2023-05-21,L,6.659251089324619,0
2023-05-24,W,9.242580005120328,1
2023-05-27,W,8.273333333333332,1
2023-08-12,W,6.9314285714285715,1
2023-08-19,W,11.11327353194225,1
2023-08-25,W,5.731490484266064,1
2023-09-02,W,10.631486763926091,1
2023-09-17,W,6.8117733010432495,1
2023-09-20,W,9.633105786618446,1
2023-09-24,L,8.134215077335282,0
2023-09-27,W,6.918611602535751,1
2023-09-30,W,8.530074895839189,1
2023-10-03,W,9.342067307692307,1
2023-10-07,W,6.783892689963855,1
2023-10-24,W,6.383055555555555,1
2023-10-28,W,8.85021198156682,1
2023-11-08,W,8.044472162140512,1
2023-11-11,W,7.298058788304824,1
2023-11-26,W,8.335973364823225,1
2023-11-29,W,5.024880952380952,1
2023-12-02,W,11.88,1
2023-12-12,W,9.923957553058676,1
2023-12-17,W,9.542947052947053,1
2023-12-21,W,8.045,1
2024-01-03,W,7.183849911740852,1
2024-01-21,W,8.505060961582702,1
2024-01-27,W,9.16875798212005,1
2024-02-01,W,5.924310344827585,1
2024-02-10,W,9.190913713311412,1
2024-02-13,W,7.664501338688085,1
2024-02-25,W,9.419444444444444,1
2024-03-10,W,8.080722736192879,1
2024-03-16,W,4.959602586277901,1
2024-03-31,W,5.954166666666666,1
2024-04-13,W,4.629478991596638,1
2024-04-21,W,6.462285714285713,1
2024-04-26,W,5.734100847835788,1
2024-05-04,W,11.081611047180669,1
2024-05-08,W,6.250367608857579,1
2024-05-11,W,10.538260869565217,1
2024-05-14,W,12.755916441007285,1
2024-06-01,W,10.040145658263304,1
2024-08-25,W,6.873600713012478,1
2024-09-01,W,9.668472222222222,1
2024-09-14,W,5.8481578947368416,1
2024-09-17,W,8.237707083016659,1
2024-09-21,W,6.603180722891567,1
2024-09-24,W,8.279224598930481,1
2024-10-02,L,7.991942463854229,0
2024-10-05,W,9.86447369359729,1
2024-10-19,W,8.659799453831711,1
2024-10-22,W,9.077242732298911,1
2024-10-26,L,5.190200501253133,0
2024-11-05,L,9.3549576257812,0
2024-11-09,W,6.717891891891891,1
2024-11-24,W,9.213345345345346,1
2024-11-27,L,6.271293183940243,0
2024-12-01,W,9.819166666666666,1
2024-12-04,L,6.3062344172118605,0
2024-12-07,W,8.868333333333334,1
2024-12-10,W,5.3459579714205665,1
2024-12-22,W,6.37579156223893,1
2025-01-03,W,8.28267956193998,1
2025-01-19,W,8.985004516711834,1
2025-01-22,W,14.17457142857143,1
2025-01-25,W,9.368291846418453,1
2025-01-29,W,9.982482758620689,1
2025-02-01,L,7.005266334228359,0
2025-02-11,W,7.873864815002306,1
2025-02-19,W,6.1047285009480134,1
2025-02-23,W,10.044771241830066,1
2025-03-01,L,7.561042145593871,0
2025-03-04,W,8.190445851962243,1
2025-03-09,W,7.403724421371403,1
2025-03-12,L,7.591030328798186,0
2025-03-15,W,5.1091774025432555,1
2025-03-29,W,5.752499999999999,1
2025-04-05,L,9.45787552213868,0
2025-04-08,L,5.648272694845729,0
2025-04-13,W,8.006564339740931,1
2025-04-16,L,9.234444444444446,0
2025-04-20,W,8.374025594288753,1
2025-04-23,W,4.9614814814814805,1
2025-05-04,W,9.444528605962933,1
2025-05-11,L,3.4799999999999995,0
2025-05-14,W,12.685,1
2025-05-18,W,11.418888888888889,1
2025-05-24,W,8.691696813092163,1
